mubayyiḍay ; mubayyiba
al-muhandisu ; al-maṯnahu
istaʾjara ; istaḵbar
al-lajnatayn ; al-bakayniyyu
nutabaddala ; nutabaddil
ʾabliʿā ; ʾabliʿā
muḥīṭatayn ; muḥtaṭīn
laylata ; layyata
al-hādiʾa ; al-ḵāhida
yuʿarna ; yuʿanna
nawarun ; nawwaru
ḏākarna ; ḏanāban
najbura ; najarra
ʾuṣibnā ; ʾuṣābānin
tudallāni ; tudallinā
tatanabbaʾa ; tatabanaba
yastaqriʾa ; yastaqira
tumāṯilā ; tumāṯilā
ʾastafid ; ʾastajil
jazāʾiriyyun ; jazāniyyun
nattakiʾ ; nitaktil
ubtuliʿā ; ubtaʿalā
ʾirhābiyyun ; ʾirhābun
yuhrabu ; yuharru
ʾunjiztum ; ʾunjidna
ʾuqāṭiʿ ; ʾumāʿadat
yuṣannifa ; yuṣannabī
tubḥaṯu ; tubḥuṯa
ʾanjarā ; ʾanjaʿā
nuḍāʾu ; nuḍāʾu
farraja ; ḵaraja
tuḵāmarā ; tuḵāwima
tuṣammatā ; tumaṯṯaʾti
šuhirna ; šāharna
tujmalāni ; tuqdalnā
tufqarā ; turqirā
tuṭfaʾna ; tuṭarran
tustakbaru ; tustakbaru
majjāniyyun ; majjāniyyun
tustakrahā ; tustakrahāni
ʾubaṭṭiʾa ; ʾušabba
nustaʿraḍ ; nustaʿraḍ
yunḥilū ; yunḥilū
utlu ; uftaltu
ʾurā ; ʾufā
ʿaḏḏaba ; ʿaṣba
šiʾnā ; šāniḥā
ʾūla ; ʾayyal
an-numūr ; an-nuwīʿatu
yubriqū ; yubraqū
yamši ; yaḥḍay
sanawiyyātin ; wawtiyyāni
raḍītunna ; mīnātirūna
hādiʾun ; hādinu
al-fanniyyi ; al-ʾanfāniyya
šamsiyyatayn ; šamsiyyatayn
ʿaskara ; ʿasaka
yastaʾjira ; yastaḵbir
ʾuṣḡītumā ; ʾustaḥībātu
al-ʾarḍiyyāti ; al-ʾiḍāriyyāti
al-qātilata ; al-qātilatā
ʿilmāniyyātin ; ʿilmāniyyātin
ḥārrayni ; ḥārayni
tulḥiqa ; tulḥiqa
tumawwijna ; tujammiẓna
aṣ-ṣuḥufī ; aṯ-ḥuṣābiyyu
ḵalījā ; ḵalibā
istaṭīlū ; istaṭūlī
al-hamzati ; al-hamzatayn
nuṭarraba ; nuṭarraba
muhandisāni ; muhandisan
natakallamu ; natakallam
at-tāsiʿata ; at-tarassārāt
wajhun ; wajīṭarun
yazdad ; yaḵrasa
ṣawwata ; ṣawwata
ʾušammaʿu ; ʾušammaʿu
hajama ; iḵraḥaqa
ʾumminnā ; ʾumimnā
yastaqtilu ; yastaqiltu
ḵīfati ; rūfiyyati
yaʿūdāni ; yaʿdūna
šafawiyyatun ; šawratayni
taqrīriyyun ; taqīriyyatayni
tabādala ; tabaddala
al-ḥazīnāt ; al-hanšakiyyun
as-sijnu ; as-sajjun
tuḥwajī ; tuḥwar
mušmisātun ; mušwiytumāni
tuṭahhar ; tuhāra
masqiyy ; maswiqī
mutawassiṭun ; sawwamtumna
ʾuḏḏakara ; ʾukawwafa
furijti ; istibārāti
ʾaʿjama ; ʾaḵramaʿa
al-manāratu ; al-manāfaru
ad-duyūki ; ad-dubūdayn
naṣdira ; najzida
tadulla ; taṭarray
ʾatʿaba ; ʾatʿaba



Accuracy: 0.11204849393825772
Same length:  6252 / 16002
Levenshtein:  3.540994875640545
