végrendelkeznétek ; végrendezdelnétek
átkozni ; átkonyozni
tékozol ; tékezel
elhalasztjuk ; olhasztjátok
angolokban ; zangokbank
megütöttetek ; megütöttük
elvág ; agvág
improvizáltok ; iszsrovalizáltok
zengjétek ; zetnétek
forradalmasítod ; forradósó
észtről ; üszertől
felversz ; fervesztel
támadunk ; támadjunk
spricceljünk ; séprecitelünk
bevallnod ; bevallad
alábecsül ; alábecsül
beiktattatok ; beiktattatok
konvertál ; konvertél
memorizálnál ; remorizálnál
megfizetnék ; megfizetnék
szorít ; szorít
kiállít ; kiállít
kiválasztanál ; kicsoltál
bojkottáltam ; bomentáltat
élesztettünk ; éllesztettünk
kivittünk ; kivettünk
dinsztel ; dinsztel
suttognánk ; tátogatnánk
fölírjunk ; föllarítjuk
komplimentíroz ; kompíromitál
elkövetjük ; elkövezitek
mártasz ; mágszerélt
törzsért ; elkérezt
plántál ; zsomtálnád
fasíroznunk ; fakadíroznunk
űz ; űz
bódító ; ábító
variálnál ; varrálnál
kerül ; kerül
elálmosítok ; elállítjátok
digitalizál ; digitalizál
izzadtátok ; izáltatjátok
azonosítottál ; oszítottál
alosztályoknak ; aloszkálnotok
iktassuk ; iksóljuk
faggatnád ; faggatnád
megkopaszt ; megkopotsz
vonyítanod ; víroznod
jóváhagytunk ; jóváhagytunk
muzsikálnunk ; mutikálunk
elpusztítsatok ; előpóstassátok
nevelted ; nevelted
módosít ; módosítsunk
ösztöndíjaknál ; ösztöndíjaknál
kommentáljak ; dementáljátok
lefoglal ; lefoglal
vétenék ; vétnék
túlélek ; túlélek
lejártam ; legekért
ültetnéd ; ültetnéd
leoltotok ; leoltok
legel ; legel
hozzáadandó ; hozdítad
taksálnom ; tokkotnád
szellőztethet ; szelőzetett
látogat ; látogat
aktivál ; aktivál
köszönnél ; köznél
átfésül ; átfésül
neveztek ; nevezzetek
samponoz ; tajonoz
kaparnotok ; kaponnotok
borzaszt ; borzaszt
aláhúzni ; aptányozzai
kotor ; korot
fedő ; fedetem
nyomoz ; nyom
elpárologtatott ; elpárolottát
pedikűröz ; pedikűröz
jegyezted ; jegyezted
szekularizál ; szukarikáló
megfertőz ; megfordít
evez ; övez
etet ; etet
puszilni ; poszulni
agyonvágjatok ; agyonvágjátok
digitalizáltál ; digitalizáltál
újraparticionálnánk ; istraganizátnálnátok
tetetnünk ; tetnünk
feloszlattam ; feltasztam
felfognátok ; felfonnátok
harapdál ; harapdál
jegyez ; jegyez
rendelkezés ; rendelkezésekbe
tapasztaljunk ; tapasztalunk
ajánl ; ajánd
göndörítenem ; göndörítenem
liberalizáltad ; proktalizál
undorít ; undorít
forraljak ; forraljátok



Accuracy: 0.36616454229432216
Same length:  1831 / 3452
Levenshtein:  2.4684241019698727
