zargatjuk ; parjátok
gyomláltátok ; tyomagtáljak
csórnotok ; csperdenít
telefonál ; úllál
mar ; mar
tüzeltetek ; teleljeltük
díszítesz ; díszek
hátrakötöttünk ; pékkoltatjátok
ugrál ; ugrál
elkényeztetnem ; elkéntenk
megáld ; megálló
sütnénk ; sztenünk
szeletelnem ; szentelnem
példa ; péld
boncolok ; bovonotok
támadnátok ; támézennék
kombinál ; kobánytik
fasíroz ; fasíroz
szolgál ; szolgad
kielégítetted ; kitelegetített
dörzsöljünk ; dörizeljek
improvizáltok ; ipvorizáltátok
kiábrándítottátok ; kikbítontátok
szellőztessétek ; szellelleltek
köpnöm ; kömönnöm
khmereink ; reminkicsám
mellébeszélhet ; megfesztölt
visszaírnál ; visszárítanál
gyűjthet ; gyigyáztátok
hollandokra ; pokradnál
csábít ; csípt
alábecsülted ; olvasztoljak
fejleszteni ; fejszelnünk
csíkoz ; cssabányokhat
rendelkezésem ; rekeznünk
átkozzátok ; alkáljuk
spioníroz ; szomorít
kompromittálok ; kompitáltam
borotvál ; bortálsz
elkövet ; összevek
kotor ; kertel
díjazunk ; díjakban
átfésülök ; áplkoljak
díjazni ; díjazni
göndörít ; bendomorikál
öltök ; öltek
tilt ; tilt
megmozgat ; megmagyúzok
kapcsolok ; palvasszandi
hazudnunk ; hajundokkál
lassítandó ; lassítandó
elhibáz ; ágtálmazik
lefejez ; lúz
abbahagynunk ; helybegálnunk
közöl ; köllő
elvétenétek ; elvetnék
céloztál ; vélhalálhat
feltennénk ; fenfennem
transzplantálod ; tapsomponálnál
felhasznál ; felhasznál
stimulál ; stimulál
faragcsálod ; faragcsálod
elfog ; elfog
elfogad ; elfogad
diszkriminálok ; disztrályok
elpárologtat ; popertál
süvegeljük ; süvegeszek
konstatál ; komtad
megfertőztök ; megfermetetted
kihúzzak ; kihúzzak
csórtam ; csertató
megkapnotok ; megkutanánk
rejtettél ; rentettetek
fésültétek ; féleltsük
csatolnánk ; csalnod
ajándék ; ajádnánk
produkáljatok ; produkáljak
kiállítotok ; kiálláltunk
disztingváltál ; visztályogatál
teregettétek ; gertettem
újraparticionál ; impricsonálnátok
kéret ; kéred
megverned ; megvelned
megállapítsunk ; megállaposítok
vihogó ; sócihal
redukálnod ; rekudálnád
bizonyítékoktól ; tűzkédelítetni
rábeszélted ; rászélted
hangszerelted ; hanszerelnétel
megjutalmaztátok ; megkuztáljak
halmoz ; halmoz
agyonvág ; ágcsom
megemlít ; megítsa
tangózik ; tanzzáló
összevágnátok ; elávágnék
átadandó ; ódonnád
vájjunk ; vájunk
megszámláljunk ; megszmináljak
példakép ; pápkasznál
lök ; őbesz



Accuracy: 0.11326767091541136
Same length:  1059 / 3452
Levenshtein:  4.452780996523754
