tékozló ; tekőzel
lengyelig ; legyintel
bevall ; bevalal
szemléltet ; szemléltet
szürcsölünk ; szorgybenizáljuk
fejlesztettétek ; feleszeltetek
összehasonlít ; összehaszít
vesztenénk ; vezetnénk
tanúsítanátok ; szenítenétek
ujjongnotok ; ujnúzjátok
szabályoz ; szabályoz
válaszként ; választatok
földelendő ; fendolod
palackoz ; zavazun
megvalósít ; megvalósít
úszkál ; úszál
szidod ; szided
vartyogjátok ; vartyogjatok
szalaszt ; szolgatsak
elvesszük ; elvesztek
illet ; ilet
pumpálok ; pafojunk
hamvasztjátok ; hallontotok
levegyek ; levegsk
ontottad ; jintatottad
vánkos ; vákozandó
leigáz ; legyilm
latol ; latol
tolerálnánk ; tertelelnél
támadnátok ; támadnátok
élvez ; élvez
kavar ; kavar
teregetnem ; teregnem
megszámlálok ; megálláznok
feltüntessétek ; felestütjük
portugálod ; terogáltod
vicsorít ; pívnl
undorítani ; jurítani
ejtenéd ; engetnéd
tapasztalhat ; tapasztalt
tüzeltetek ; tölteltetek
engedélyezzük ; engyeléljek
segítjük ; jegeztünk
patkoltátok ; patoltok
blamíroz ; blamíroz
bódít ; bódít
elfojtok ; elfejtetek
hozzátennetek ; hoznátok
markoltál ; fortáljak
hántanánk ; hántanánk
oxidál ; idefő
denaturál ; denegériltál
berendezned ; beszerned
fújdogálhat ; fabagalhat
elveszített ; elverithet
elpusztítanod ; előkítanod
befedő ; befedezed
elnyomtam ; elmendelyezteteken
gyomlálnád ; elpogonálnád
rábeszélted ; ráboltad
fermentálnád ; fertalálnád
lel ; lel
amputál ; újtalál
megköszön ; megköz
villantasz ; villasztol
felfedez ; feledel
eszmény ; üzdem
szakítsak ; szakítsak
homogenizálnátok ; homanizálnátok
zsebeltük ; zsebeszéltek
váltottad ; váltottál
köpnöm ; köntenél
rávág ; ráváz
megszámlál ; megforázod
görbítjük ; gerdítsuk
helyez ; henyez
szürcsölnél ; szervelelelnéd
kialszik ; kialassz
meglep ; megferál
kompromittál ; komprottál
üzen ; üzen
áltathat ; álhattó
elkészíteni ; elkösítenünk
számlálnánk ; számlálnánk
pirítanunk ; pirítjátok
kárpótol ; karírozzak
flambíroztad ; flamideírhat
összeállít ; szomlítasz
dalol ; dal
regisztrálod ; regrezdeled
lyukasztottuk ; lyukasztottuk
elhamvasztanod ; elhanyogodtad
garantíroz ; garagíroztam
bázisokig ; bázisogai
spricceljünk ; preceinünk
visel ; viszel
tátanátok ; tátoknak
kiállít ; kialáló
tulajdonosnőkig ; kigyógani
abbahagynunk ; befősekkendez



Accuracy: 0.17468134414831982
Same length:  1260 / 3452
Levenshtein:  3.8835457705677867
