jamīlatun ; mutafāḍilatun
faḥuštu ; faḥtu
al-ʾamīnayni ; al-ʾamīnāni
tūqayā ; tuqriyā
az-ziyāratāni ; az-zayyāti
tataḥāšayna ; taḥtawayna
qūmā ; qūwām
nuʾakkila ; nuʾakkida
al-ḡayūrāni ; al-ʾīrāḥiyyayni
istakbartum ; istakšabtum
al-jarasu ; al-jawru
ad-dayru ; ad-dayru
muwaẓẓafay ; muwāfisay
tazīḡa ; tawrīḡa
al-barzaḵayni ; al-zabarayni
as-sirriyyūna ; as-sarūriyyīna
yufarrajūna ; yurajjarūna
qāwamat ; qāwim
nawwama ; nawwama
ʾusabbibu ; ʾusabbibu
tuqāsī ; tuqāwiʾī
al-ʾābāṭa ; al-ʾašāffiʾ
ṭulliqtunna ; mulūkiqatayn
al-barbarī ; al-barrayni
qāss ; qāsasu
as-sajājīdi ; as-sajīdi
ʾaḡdiya ; ʾaṭalmi
ʾuḵraj ; ʾuḵraja
ṣāra ; ṣāra
tartaddu ; tartudū
at-tiryāqu ; at-taqrīmātu
al-ḥāʾilu ; al-ḥāliḥu
mustaʿmirāni ; mustaʿmirna
maṭlūbayn ; maṭbūlū
ʾanbaʾa ; ʾannaba
aš-šahriyyāti ; aš-šahhiyyāti
nabtaʿidu ; nabtaʿidu
ʾilāhātin ; ʾihālātin
tuʿazzarna ; tuʿazzarna
mustaʿiddatayni ; mustaʿmidatayni
ʾujassid ; ʾujassid
ḵaṣībun ; raṣībun
ʾasadin ; ʾasādayn
yutasallaq ; yutaqallas
matāʿā ; matāʿa
ʾujāba ; ʾujāba
šārik ; šāriṯ
al-manawiyyatayn ; al-wammiyyatayni
taštajir ; taštajir
al-masākīn ; al-munṣadāt
taḥruṯā ; taḥruṯā
tulabbināni ; tubaḏḏifna
nusajjala ; nusajjala
yusawwifa ; yuwāfisa
darrājatayn ; darraytun
ʾasquṭu ; ʾamuwwaṭu
ḵāṣṣati ; ḵaṣṣāt
yuḥawwiṭu ; yuḥawwiṭu
ʾuḵt ; ʾīḵu
yuṣfarā ; yuṣfarā
tumaddā ; tumaddā
ʾattabiʿ ; ʾattabiʿ
harraba ; hābara
wāfiq ; wāfiq
yuḵallidu ; yudaridu
al-ḥijaj ; al-ḥafasa
tusḵaṭā ; tushaṭā
yuhājirna ; yuhājimna
yuḵtaraqā ; yuḵtaqarā
ʾusānida ; ʾusādima
al-kuwaytiyyati ; al-kuwāliyyati
uḏḏukirnā ; uskurfāni
yusakkanu ; yusakkūna
ʾafnā ; ʾanfā
yamši ; yamšiḡ
nuḵladu ; nuḵladu
nuʾassasu ; nusāʾū
muṣammat ; musašmat
tastadirrū ; tastajiʿū
yaḍūʾu ; yamuḍū
tuḥakkā ; tuḥakkū
ʿaduwwa ; ʿawwadu
ʾamīn ; ʾamwayn
al-ḥawāʾil ; al-ḥawali
al-ʿibāratayn ; al-ʿarribatayn
bāṣun ; bāṣun
maḥbūbun ; maḡābiḥun
yuḥšadna ; yuḥḍadna
umtuṯilatā ; umtuṯilnā
tuʿtaqadīna ; tuʿtaqidūna
tuʿjamī ; tuʿjamā
laḥisa ; laḥiṣa
ʾuḏkiru ; ʾukṯiru
nuṣība ; nuṣiba
manaʿtumā ; hannaʿtumā
tunaffiḏna ; tunaffiẓna
ʾurja ; ʾurjar
ustulhimti ; ustumtihi
tuqṣadā ; tuqṣadā
naḥfir ; niḥfir



Accuracy: 0.21303587051618547
Same length:  8228 / 16002
Levenshtein:  2.651293588301462
