uḍṭurirnā ; muṭrāni
uttubiʿna ; tubtaʿin
ʾatakātabu ; ʾatakabu
muqāriḍ ; muqādi
al-munaẓẓama ; al-munfasaʾa
iḥširā ; iḥriḥā
sūʾū ; ʾūsū
al-juḥru ; al-ḥudīru
al-jāmiʿatu ; al-jāmiʿu
ḏākirna ; karakna
yunfaʿūna ; yuʿfanna
an-nafari ; annāraʾāni
ištirākiyyātun ; ištarilānu
haramay ; hahar
yutaqayyaʾa ; yuʾammata
al-ʿātiqayni ; al-ʿarīqayni
yuʿammiqa ; yuʿammiqa
ʿazalta ; azaddatā
saḥḥartumā ; maḥturinna
iḥtamala ; imtaḥala
nufnā ; nunfā
at-tašrīʿayni ; at-taʿjiyyatayn
muwāfiqun ; mufāwilun
yadnuwa ; yaddamna
al-ʿazabāti ; al-ʿazalibata
yumaddū ; yumaddadū
tukrimū ; tullasu
sālama ; sallama
iḥtasibū ; istaḥfifun
ḵullidtumā ; ḵulidtumā
tuṣābarū ; tuṣarribun
az-zaytiyyīn ; az-zīziyyayni
yunāqišū ; yuʾaqšiḡun
tunīmū ; tunmaw
ʾaslama ; ʾasmala
nīšānayni ; nušāḡāni
barāziḵu ; bahārisu
juwwifta ; ḵuwwijata
al-muzʿijatayn ; al-muḵtarizatay
al-juḥrayni ; al-šuddatin
tuʿammi ; tumaʿīrat
nunfaḏa ; nunfa
ʿasabiyyāni ; ḏasiʿābin
ʾalbāniyyun ; ʾanbilū
yuḵāfū ; yuʾārū
nastakšifa ; nastakafa
iṣṭabiḥ ; ṭaṣfif
qarārā ; qārirā
aṣ-ṣuḥufiyyatayni ; aṣ-ṣuḥfayni
ḵullītu ; juyyidu
tūladī ; tuddil
ʾaṣābiʿ ; ʾasabraḵ
ʾaṭālū ; ʾaṭīlū
wājiban ; wājibatan
ustuʿlimtum ; ustumiʿtu
tušarraḥāni ; tuḥarrafā
hādiʾātin ; hudiyāni
ḡurfatayni ; ruḡartin
ar-rašīd ; ad-darra
ʾaḥfaẓnā ; ʾaḥfawna
šahādatu ; šahidu
al-jāffayn ; al-baḵīfāni
tadlulna ; taddilna
ʾabīʿa ; ʾarrab
nuḡmaru ; nummu
tuʾaṯṯarī ; tajamna
tuʿmalna ; tumṭaʿna
muzdahirun ; muhzirun
mufattišūna ; mutašiftunna
yaʾbiqā ; yaʾābāqā
al-muwāṭina ; al-muḥāliyyāt
ḡarīzata ; rawwafata
ustušhidtumā ; ustušihtumā
yuḵawwišna ; yuḵawwanna
ṭāwala ; ṭawwala
al-fasātīn ; al-farīsayn
sudumu ; usʾuddu
yurāqabna ; yubammarna
yušayyiṭna ; yuḥayyaṭayn
ṭulliqtu ; mufliḥu
yūqiẓāni ; yuqilāni
al-ʾījābiyyatayni ; al-ʾatabīrayni
aṯ-ṯallājatu ; aššakawatu
al-bustānu ; al-ʾanjabu
al-jannatu ; al-ʾanšatu
tanḍammā ; tamtalna
ʾantafiḍu ; ʾatalakētu
tunṣarū ; tunsarū
ʾaḥyayta ; ʾaḥītatā
al-mustaqīmāt ; al-mustamimāni
ʾuṯarṯir ; ʾuḵaṯ
rūsiyyun ; rusisū
istaʿraftumā ; istaʿrimatāni
ʾāḵaḏatā ; ʾartimā
al-jannatāni ; al-ʾanšaray
tuḵtaraʿna ; tutaʿanna
tataḥawway ; tatawwaw
sūriyyāt ; sirāti
naʿbura ; naʿbara
tanbiḏa ; tanaffaʾa



Accuracy: 0.0594925634295713
Same length:  5701 / 16002
Levenshtein:  3.9001374828146482
