yustaṣdarāni ; yustaṣṣidāni
hamzatayni ; hamalatayni
sammanti ; sammattamīna
an-natījatu ; an-natījatu
yazdad ; yazdad
yuṭbaʿa ; yuṭarraba
yuḥna ; yuḥna
istasrartunna ; istaḏnatū
ḡurḡirtum ; furḡimtu
tataḥawwayāni ; tataḥwasiyāni
aš-širāʿu ; aš-šiʿāhu
ʾujānasu ; ʾujānasā
tustaḥaqqāni ; tuṣṣadna
uḥtuwiyā ; ḥuwwiya
šurfatay ; šūratay
tuṯnawna ; tuṯnīnā
rābiṭa ; ḵāliba
šakala ; šakala
nuqattala ; nufattal
ʾazmān ; ʾawrīsan
tastaslimna ; tastamilna
habaṭa ; habaṭa
al-qāfilata ; al-qāliqata
al-mufattišu ; al-muttašifu
siyāḥiyyayni ; siyāḥiyyatayni
turḡab ; turḡab
al-istiʿmālu ; al-istaʿmilu
sāwaytu ; sāʾistu
ʾūfū ; ʾūfū
tuḥtāju ; tuḥtaṭu
tuʾakkidūna ; tuʾakkidūna
tuḥtawayā ; tuḥtawā
taqsīma ; tasqīsa
nuqiṣti ; nūṣiqti
tūriṯū ; tūḵiṭū
yuwāfiqna ; yuwaffiqna
ar-ramādi ; al-ḵāmmid
tuqarrirna ; tuqamrirna
ḥikāyatan ; ḥakālatay
ʿubirti ; ṭubiʿati
mašrūʿun ; mašʿūrun
al-marzūqātu ; al-mazīʿatu
ʾubṣaqa ; ʾuṣbaba
ar-rawābiṭi ; al-ḵāṭibī
al-ʿaqlu ; al-ʿamālu
al-ḡaymatu ; al-maʾmatu
ḏaqn ; ḏan
ʾaḥfaẓtumā ; ḏaḥaṣtumā
rukkizta ; kurikti
tanʿaqidāni ; taʿtaqidāni
mustadīratayni ; mustajmaratayni
aš-šarṭ ; aš-šahda
mawwaja ; mawwaja
ʾalʿaqa ; ʾalʿaqa
yuwātarā ; yuwātirā
rāyāti ; ḏārāti
al-qiddīsi ; al-qimdasi
nustabdal ; nustabad
ʾasāsayni ; ʾasāsayni
yunḥarafa ; yunḥafa
qāmartumā ; qumistumā
sakākīni ; salakīnayni
mūqin ; ḍūmin
baẓrayni ; baẓẓayni
ʾinkilīziyyayni ; ʾinziliyyiyyiyyi
kahrabu ; kahrabu
al-ḥaqīqiyyatayni ; al-maḥwasiyyīna
nastaḥrim ; naṣḥirat
yammin ; yawin
ʾunšiʾatā ; ʾunšitā
tustajārī ; tujtaḏīna
al-muḥtamalatāni ; al-mutaḥammiyyīna
naḥtāju ; inaḥtajimu
tuʿajjabīna ; tuʿajjibīna
nadʿuwa ; naʿduwa
sakkannā ; sankaʾna
al-ḥakīmu ; al-ḥašīšu
yamtazna ; tamtamirīna
ṭarraḥti ; ṭāriḥat
nuṣābara ; nuṣarraba
subbibtu ; sūbibtu
ʾakrihā ; ʾakrāḥi
yastabdilā ; yastabdilā
tašrīʿiyyāni ; tašʿiyyin
yuḏnabu ; tubnaṯu
tanfī ; tanīfa
nusammana ; nusamma
tuḵtaraʿna ; tūtaʿna
ar-rašīd ; ar-rāšida
yataḡaddā ; yataṭāda
taʿiba ; taʿiba
tunfay ; tunfay
aš-šayʾu ; aš-šawru
ʾaḥakka ; ʾaḥakka
yuhrabu ; yuhārabu
aḏ-ḏirāʿu ; al-ʿuṣiru
ʾulḡā ; ʾulḡā
al-jumjumatayni ; al-majūmatayni
qudratayni ; qudūratayni
ḥašara ; ḥašara



Accuracy: 0.22509686289213848
Same length:  8402 / 16002
Levenshtein:  2.620172478440195
