as-sāʾiḥu ; aṣ-ṣāʾiḥu
tustahzaʾna ; tustahanna
al-maḡāribiyyayni ; al-ʾaḡāribin
al-muqaddasati ; al-muqsidāt
nassaytunna ; nastum
ṣawwabna ; ṣawwabna
taḥšudu ; taḥdaṯu
muṯṯilū ; muḥsiṭū
ʾanāniyyātin ; ʾanāʾiyyātin
ʾaḵḍaru ; ʾaḵḍaru
ʾākil ; ʾikkā
al-ʿumāniyyāni ; al-ʿumāniyyīna
al-mīl ; al-ʾilū
al-ḵāṣṣatayni ; al-jawwisan
nurabbī ; nubbalū
tujarraʿī ; tujarraʿū
sālimatin ; simmiyyātin
al-mizmāra ; al-qadawna
yustalhamna ; yustamṭaqna
yunjizāni ; yunḵazirna
ṣumtunna ; ṣumminna
kuribnā ; kuribnā
yamtaṯilna ; yamtaḥikūna
ʾuhbara ; ʾuhbara
yuʾarraḵū ; yaʿjū
sakata ; sakala
bāṭilun ; bāṭiḥun
bulh ; bullim
mustaʿmirun ; mustaʿmirun
yutabaddalū ; yubtadiʾiy
ṭafā ; ṭarā
tuttaḵaḏī ; tuttajama
ʾīrāniyyun ; ʾunāfiyyun
al-ḵuḍratu ; al-ʾaʿdamu
rayyiḥun ; mišrun
maṣfuww ; maṣāqa
al-ʿuššu ; al-ʾurḍiyyu
miṯliyyun ; miṯliyyun
ʾullihtum ; ʾulhim
nuḵawwilu ; nuḵalzilu
ṣāniʿu ; anārisu
sinjāba ; sābanā
as-sūfyātiyya ; as-sābāʾiyya
harabtum ; hatabaru
kūray ; sirṭaray
al-ḵandaqayni ; al-ʾaḵāran
nunīma ; numīt
yustabdalna ; yustadibna
ʾulimbiyyātin ; ʾulāqibāni
ʾastakbiru ; ʾastakribu
yusqayā ; yusāqa
ʾusaḵḵaru ; ʾusaḵḵaru
ʾammama ; ʾamma
aṣ-ṣūfī ; aṣ-ṣarīḥan
māddat ; mādimat
an-nāʿūẓāti ; an-nārāʿayn
nazala ; nazama
al-ʿazīza ; al-ʿazdida
yastadīrā ; yastajādī
ʾuʿtazam ; ʾumtazaʿ
nalʿaqa ; naʿlaq
nartaʿidu ; naʿjamtu
taʾkul ; takalu
tūqiẓāni ; tūqiẓāni
tataḥāšā ; tataḥāša
muʿarraqun ; muʿarrarun
ḥanak ; ḥanak
iftakarta ; kaftala
al-furṣatu ; al-safaru
al-muhandisu ; al-manhidu
mundaṯir ; munakkad
nāyātin ; nāniyyātin
al-mašḡūlatu ; al-ʾammiyyātu
al-ʿaṣfūr ; al-wasūra
aš-šābbu ; aš-šābbu
mikrūban ; mikrūbayn
at-turkiyya ; at-kirdāʾiyyati
tastaslimū ; tastaʾmil
ḥulliltu ; ḥuliltu
al-ʿabdu ; al-ʿadāru
matāʿay ; maʿtāmā
maḍbūṭayni ; miṭābayn
nuqāriḍ ; nuqaddirū
muḍirratun ; muridnatu
tuḥsanā ; tuḥānasāni
al-mutaʿaddidīn ; al-mutaʿaddidayn
nuqaḍḍibu ; nuqaddiru
liqāʾātun ; munāqayni
šamāliyyatin ; šamaliyyātin
dāḥin ; miṭṭāni
uḡtuṣibat ; ustuḥbaratayni
nusʾala ; nuslam
al-ʿaqliyyatayn ; al-ʿammiqiyyayn
ḡarībatayni ; ḡaribayni
al-ʾazyāt ; al-ʾawāʾiyyāt
an-nimsāwiyyatāni ; an-nawāmisati
ʾuʿammi ; ʾuʿammim
ar-rīḥayn ; an-naḡīḥayn
ʾalʿaba ; ʾarrib
tuʿujjibtum ; tujbaʿu



Accuracy: 0.10236220472440945
Same length:  6387 / 16002
Levenshtein:  3.4653168353955754
