ʾarbāʿun ; ʾaʿābāratun
aṣ-ṣiʿābi ; aṣ-ṣuʿibi
at-tāsiʿayni ; at-taʿwiyyatayni
al-basīṭi ; al-bāṭati
mašayti ; mašati
ḥājibayn ; ḥājibayn
tufqasā ; tufqasā
ḵaladayni ; dayyiḵati
ʾiʿlānā ; ʾiʿlanā
tustaʾmanna ; tustaʾman
al-ʿarīqayn ; al-ʿaqīrayn
yunqaḏā ; yunqaḏā
ʿajalatu ; ʿalijatu
ustuqriḍtunna ; ustuqriḍna
tuqʿadā ; tuʿqadā
yabtaʿidū ; yaʿtajib
ibtasama ; istaqtaba
tuʿtamarāni ; tuʿtamāni
ʾaṭbaḵu ; ʾaṭbaru
duʿimtunna ; ʿudirtunna
al-ḥašaratu ; al-ḥarratu
al-qāʾimatu ; al-qāʾimatu
darwīšin ; darhījatin
ḥaraṯat ; ḥarrarat
al-qādiratāni ; al-qādirati
at-tadrībāt ; al-tarābadāt
šurriḥā ; ḥurrišā
nutʿabu ; nutʿabu
ʾasūʾa ; ʾassa
nuwwābin ; nūfifan
yuhaddidā ; yuhaddidā
šibāka ; šibāka
baḥaṯū ; baḥḡū
sālimin ; sāmiln
tastaḥqiqna ; tastaḥqiqna
bāṣay ; baẓayḡū
ʾiliktrūniyyatan ; ʾiliktirāniyyatan
al-ḡadīrāni ; al-fāridāti
ittiḥādātu ; ḥitādātu
ʾamīnun ; ʾamīnun
ʾastajmiʿ ; ʾastaʿjiḍna
nuqābal ; nuqābal
intaṣarna ; intaṣarta
ʾišārāti ; ʾištāʿin
nuḥawwiṭ ; nuḥawwiṭ
mūraṯ ; murhajna
yuballaʿna ; yubliʿna
ḍafīrata ; ḍafīʿata
ḵaladi ; daddari
našwa ; našwa
yuḡarḡira ; yuḡarri
al-ʿajalatu ; al-ʿajalatu
bādalā ; bādalā
istaḥfaẓnā ; istaḥfaẓnā
ṯabata ; ṯabata
ʾušakkila ; ʾušakkila
al-māddiyyatayni ; al-midtiyyatayni
yuḵalladu ; yuḵalladu
rukkizta ; tuzaddilna
al-labawāti ; al-balīqāti
ufsuqā ; ufusīqā
al-ḥabībayni ; al-ḥibbayni
ʾustaraddu ; ʾustardaju
ʿasabiyyun ; ʿasabiyyun
naṭmaʾinna ; nasamṭīna
al-asātiḏa ; al-ʾisāmata
zarāfātu ; zarāfatu
yumītā ; tuʾīwatā
yujayyabā ; yujayyibā
ʾaʿjaba ; ʾaʿjaba
māṭirun ; māṭirun
saʿūdiyyun ; saʿūdiyyun
al-hiwāyatu ; al-hayūtu
yuẓlamū ; yuẓlamū
tušahhir ; tušahhir
wāṣala ; wāṣala
tuʿṭayna ; tuʿṭarna
tudārū ; tudāʿū
naṣūmu ; naṣīḥu
sutratā ; usturīta
tūʾas ; tūʾas
nutābiʿu ; nutābiʿtu
nuʾarraḵa ; nufarraḵa
muʿaqqadun ; muʿaqqadun
ṣīḡatayn ; ṣīḡatayn
ʾuṣḡira ; ʾuṣḡira
aṯ-ṯāliṯatu ; aṯ-ṯalzatu
tumawwatu ; tumawwitu
ṯābir ; ṭābir
yufarrajūna ; yufarraḵna
ʾaṯṯarnā ; ʾaṣḡarnā
tuḥfarū ; tuḥfaʿū
tubāḥā ; tubāḥā
dawlī ; dawlī
tuḡlabū ; tuḡlabū
ḵurj ; ʿuj
ʾāṯara ; ʾāṯara
diblūmatāni ; diblūmātin
ʾabjadayni ; ʾabdadayni
ʾawdaʿtu ; ʾaḵʿadtu



Accuracy: 0.26696662917135355
Same length:  8960 / 16002
Levenshtein:  2.3312085989251345
