vonítanotok ; vítanotok
dobálod ; dobolod
variálnátok ; varválnátok
áldoz ; áldányoz
fon ; fon
fagylaltam ; fagytálat
elbeszélnétek ; tölbeszélnétek
zaklat ; zaklat
bódít ; bódít
ítél ; ítél
beütemeznétek ; beütemeznétek
elássunk ; elássunk
ítéljétek ; ítéljétek
odaadjunk ; odadunk
kibocsát ; kibocsát
céloztál ; célzált
kesereg ; keregye
dúl ; dúl
kiválaszt ; kiválaszt
kedvelendő ; köldök
építek ; ípjétek
vív ; vív
rövidít ; rövösít
őr ; őr
szürcsölnél ; szürcsölnél
utolér ; utort
látogatandó ; látogatandó
amputálok ; amputálok
felismertünk ; felregyeztemezsem
kerekítek ; kerítek
díjaztuk ; díjtetjük
elbeszél ; elbeszél
mázsál ; mázsál
elektrifikáljunk ; ekerifikáltunk
titkolnátok ; titkolnátok
tettettek ; tetettetek
forralnotok ; forralnotok
prolongál ; prolandjaz
sóvárognunk ; sóvárognuk
naturalizáltunk ; moralizáltunk
prédikáljatok ; pröztáljak
pucolod ; pucolod
ignorálni ; igrzigálni
szűr ; szűrget
pedikűröztet ; pedkűröztet
fényképezzük ; fényképezzük
megöl ; megöl
rázzuk ; rázzuk
beismeritek ; beriselitek
újraparticionálnunk ; újrapartolizálnunk
összekössétek ; összekötjük
feltennénk ; feltegetnénk
kerítesz ; kertérolít
rendelkezés ; rendekbel
ücsörgünk ; agyonszünk
vesztenéd ; vesztenéd
feloszlatnánk ; felászolnánk
harácsolnátok ; hárcolnátok
szellőztessétek ; szellőztetjetek
hazudik ; hazdakalakít
kóstol ; kóstol
megszámláltál ; megáltált
racionalizál ; racionalizál
felhatalmaztuk ; felhalmaztatok
felfüggesztitek ; feffogyasztjatok
nemzettétek ; nézetettek
flamand ; flambolnom
kicsontoztok ; kicsontoztok
eldug ; elduké
bevall ; beváll
felszerelnél ; felszerelnél
bizonyítékoktól ; libozdítékok
teregetek ; teregetek
teremt ; metert
végiggondolunk ; végiggyolunk
visszautasítanátok ; visszárolaítanék
megütöttetek ; megütöttetek
intéz ; intéz
szkennel ; szkennel
feleségekért ; felertésekkel
rongyoltok ; rontologtuk
újraéltük ; újraéltük
üzemeltetted ; üzemeltetted
koronáz ; koronáz
rágalmaz ; rágnaz
kurtítottátok ; kurítottátok
kegyel ; kegyel
hívni ; hívni
beszed ; beszed
mellékel ; mellékel
ventilál ; ventilál
felhatalmaztok ; felhalmaztatok
körülírok ; körülögírök
apácafőnöknőd ; apapvándó
színez ; szín
termesztettem ; teremtettem
cél ; cél
dézsmálnotok ; dézsmálnotok
fú ; fú
szelő ; szelező



Accuracy: 0.3716685979142526
Same length:  1813 / 3452
Levenshtein:  2.4747972190034764
