szellőztetnünk ; szólnottunk
beidéz ; beidéz
forraljak ; forráljak
sétálnátok ; támálnék
xeroxozhat ; zsorogtam
likvidálunk ; tipanizáljunk
tüzeltetek ; tüteleztünk
húzzátok ; húztunk
szekularizál ; szuralkokkél
lefordíthat ; leartólandó
befolyásolnotok ; befolgyolnátok
kihúzzak ; kihúzzunk
nyomasztó ; nyomaszt
mertük ; mertük
hódít ; hóló
popularizál ; puprokul
elhamvasztunk ; elhasztoknunk
tágítottátok ; tágítottátok
kedvel ; kedelöz
ürügy ; ugarmad
demoralizál ; komplikálsz
nyitni ; nyamnátok
nemzettétek ; nesztetek
povedálhat ; váthagyozál
tüzeljek ; tüssztek
hurcoljatok ; próvizálok
temet ; omponod
ideírtunk ; imánítrok
memorizálnál ; merisztálni
impregnálnék ; imprentálni
öklöz ; öklökje
villanthat ; vigálytatandó
popularizáljunk ; popuporizáljunk
altatnátok ; altatnék
megbocsátottatok ; megbocsáttatok
annektál ; antikálnád
elálmosítanék ; elészítenék
válasz ; vályoz
letartóztatott ; letartóztat
álcáztátok ; cecsakáltátok
hegesztenétek ; hegesztenék
elpárologtatnád ; elpártárolod
borzasszuk ; borszakesztjük
spioníroztam ; priszítanátok
tálalnátok ; tánlálnok
kopogjunk ; kofossunk
domesztikál ; domasztani
rajzolni ; rangolsz
nézegessük ; séssekeget
döftél ; döltök
elfogtatok ; elfogtatok
indukáljátok ; imelikáljátok
gurítottam ; garmoztattatni
montíroz ; motíroznom
táplál ; táplál
szít ; szít
ignorálni ; imponálni
prolongál ; prolland
kigúnyolnotok ; kigúnyolnotok
visszafejtő ; vissafólhat
csörögjük ; csodorjuk
megfosztjátok ; megfosztanátok
gyújtanánk ; gyújnátok
borzaszt ; borszaborod
szeletel ; szeltem
ó ; úz
nevelőnőid ; nevelőnő
belebeszéljük ; beszéljük
elbarikádoz ; abidálsz
csatolok ; csalolt
tennéd ; némed
tapasztaljunk ; tapakolnotok
zengő ; zegyelendő
etető ; agót
kacag ; kaccaad
metél ; mesélnem
hamisítjátok ; hamítsak
felújítsátok ; fellőzítek
elválaszthat ; elvasztathat
tupíroz ; tudíroz
megfejt ; megtagod
feloszlatnék ; felszanolnom
vacsoráznál ; vácolnánk
fermentálnál ; feltárolnánk
hoznunk ; handjunk
kert ; keret
patkoltátok ; kakkoltátok
nézeget ; nézeget
improvizáltok ; improzvitáljak
újraéltük ; újraklétek
csodál ; csolod
gépeljek ; gépeljek
szigetelnék ; szidelnék
tönkreteszed ; töszterésekel
összeadnotok ; összeádít
agyondicsérned ; ógordálnom
megkülönböztetek ; megkülöntsítek
hamvasszuk ; hamvasszátok
jóváhagytuk ; hovácsomtatok
indukál ; komilálsz



Accuracy: 0.14455388180764775
Same length:  1151 / 3452
Levenshtein:  4.151506373117034
